110	193.00000	0.00302	0.00074
115	193.00000	0.00302	0.00074
118	193.00000	0.00366	0.00085
120	193.00000	0.00478	0.00104
122	193.00000	0.00486	0.00105
124	193.00000	0.00536	0.00114
126	193.00000	0.00549	0.00116
128	193.00000	0.00635	0.00130
130	193.00000	0.00688	0.00138
135	193.00000	0.00808	0.00158
140	193.00000	0.00808	0.00158
150	193.00000	0.01285	0.00233
160	193.00000	0.01018	0.00191
170	193.00000	0.00911	0.00174
180	193.00000	0.01144	0.00211
190	193.00000	0.01605	0.00284
200	193.00000	0.01928	0.00335
250	193.00000	0.02604	0.00441
300	193.00000	0.03510	0.00583
350	193.00000	0.03313	0.00552
400	193.00000	0.02799	0.00472
450	193.00000	0.02003	0.00347
500	193.00000	0.01633	0.00288
550	193.00000	0.01020	0.00191
600	193.00000	0.00783	0.00154
